Column,Total_Records,Missing_Values,Missing_Percentage,Unique_Values,Data_Type
UHID,159,0,0.0,159,str
10_Do_You_Have_Thoughts_Of_Hurting_Yourself_Or_Giving_Up,159,159,100.0,0,float64
2_Do_You_Worry_Or_Feel_Anxious_Frequently,159,159,100.0,0,float64
3_Do_You_Find_It_Hard_To_Fall_Asleep_Or_Stay_Asleep,159,159,100.0,0,float64
4_Do_You_Have_Trouble_Concentrating_In_School,159,159,100.0,0,float64
5_Do_You_Feel_Lonely_Or_Excluded_By_Others,159,159,100.0,0,float64
6_Have_You_Lost_Interest_In_Activities_You_Used_To_Enjoy,159,159,100.0,0,float64
7_Do_You_Often_Feel_Angry_Or_Irritated,159,159,100.0,0,float64
8_Do_You_Frequently_Have_Headaches_Stomachaches_Or_Feel_Tired,159,159,100.0,0,float64
9_Do_You_Feel_Like_You_Don_T_Have_Anyone_To_Talk_To,159,159,100.0,0,float64
Acute_Illness,159,158,99.37,1,str
Age_Gender_Raw,159,0,0.0,29,str
BMI,159,1,0.63,76,float64
BMI_Status,159,1,0.63,4,str
Chronic_Illness,159,159,100.0,0,float64
Color_Vision,159,90,56.6,2,str
Created_By,159,0,0.0,1,str
Created_DateTime,159,0,0.0,117,str
Hearing_Left_Ear,159,90,56.6,1,str
Hearing_Right_Ear,159,90,56.6,2,str
Height_cm,159,0,0.0,42,float64
Instructions_Please_Answer_Yes_Or_No_For_Each_Of_The_Following_Questions_1_Do_You_Often_Feel_Sad_Or_Down,159,159,100.0,0,float64
Interpretation_Of_Mental_Health_Responses,159,90,56.6,1,str
Introduction,159,90,56.6,1,str
Mobile_No,159,0,0.0,139,str
Modified_By,159,0,0.0,1,str
Modified_DateTime,159,0,0.0,122,str
Near_Vision,159,92,57.86,1,str
Nutritional_General_Health,159,150,94.34,2,str
Others,159,156,98.11,3,str
Patient_Name,159,0,0.0,155,str
Physical_Disability,159,159,100.0,0,float64
Receiving_Regular_Treatment,159,122,76.73,1,str
Referral_Needed,159,159,100.0,0,float64
Status,159,0,0.0,1,str
Tag,159,131,82.39,3,str
Template_Name,159,0,0.0,2,str
Version,159,0,0.0,1,str
Vision_Left_Eye,159,92,57.86,1,str
Vision_Right_Eye,159,92,57.86,1,str
Visit_Id,159,0,0.0,159,str
Visit_Type,159,0,0.0,2,str
Weight_kg,159,0,0.0,35,float64
Age_Years,159,0,0.0,16,float64
Gender,159,0,0.0,2,str
Advised_Extraction,159,159,100.0,0,float64
Advised_Pulpectomy,159,159,100.0,0,float64
Advised_Restorations,159,159,100.0,0,float64
Advised_Scaling,159,158,99.37,1,str
Bald_Tongue,159,7,4.4,1,str
Calculus,159,7,4.4,4,str
Chief_Complaint,159,7,4.4,2,str
Cleft_Lip,159,7,4.4,1,str
Cleft_Palate,159,7,4.4,1,str
Deep_Dental_Caries,159,138,86.79,19,str
Dental_Caries,159,137,86.16,14,str
Dental_Remarks,159,88,55.35,1,str
Diastema,159,7,4.4,1,str
Flourosis,159,7,4.4,3,str
Geographic_Tongue,159,7,4.4,1,str
Gingival_Problems,159,159,100.0,0,float64
Grossly_Decayed,159,146,91.82,12,str
Halitosis,159,7,4.4,1,str
Over_Retained_Tooth,159,146,91.82,9,str
Pit_Fissure_Caries,159,135,84.91,13,str
Pockets,159,7,4.4,1,str
Skeletal_Problems,159,158,99.37,1,str
Stains,159,7,4.4,3,str
Thumb_Sucking,159,7,4.4,1,str
Tongue_Tie,159,7,4.4,1,str
Visit_Date_Time,159,0,0.0,159,str
BP_Diastolic,159,158,99.37,1,float64
BP_Systolic,159,158,99.37,1,float64
Pulse_Rate,159,0,0.0,34,float64
RBS,159,159,100.0,0,float64
SpO2,159,0,0.0,7,float64
Temperature,159,0,0.0,30,float64
BMI_Percentile_Band,159,1,0.63,4,str
BMI_Reference,159,0,0.0,1,str
Age_Years_Quality_Flag,159,0,0.0,1,str
Height_cm_Quality_Flag,159,0,0.0,2,str
Weight_kg_Quality_Flag,159,0,0.0,1,str
Temperature_Quality_Flag,159,0,0.0,2,str
SpO2_Quality_Flag,159,0,0.0,1,str
Pulse_Rate_Quality_Flag,159,0,0.0,2,str
